date,net_worth
2022-05-31,50000.0
2022-06-01,50000.0
2022-06-02,50000.0
2022-06-03,50000.0
2022-06-06,50000.0
2022-06-07,50000.0
2022-06-08,50000.0
2022-06-09,50000.0
2022-06-10,50000.0
2022-06-13,50000.0
2022-06-14,50000.0
2022-06-15,50000.0
2022-06-16,50000.0
2022-06-17,50000.0
2022-06-21,50000.0
2022-06-22,50000.0
2022-06-23,50000.0
2022-06-24,50000.0
2022-06-27,50000.0
2022-06-28,50000.0
2022-06-29,50000.0
2022-06-30,50000.0
2022-07-01,50000.0
2022-07-05,50000.0
2022-07-06,50000.0
2022-07-07,50000.0
2022-07-08,50000.0
2022-07-11,50000.0
2022-07-12,50000.0
2022-07-13,50000.0
2022-07-14,50000.0
2022-07-15,50000.0
2022-07-18,50000.0
2022-07-19,50000.0
2022-07-20,50000.0
2022-07-21,50000.242670059204
2022-07-22,49999.51267051697
2022-07-25,49999.21807670593
2022-07-26,49998.72774887085
2022-07-27,49999.98302268982
2022-07-28,50000.17675590515
2022-07-29,50000.35551071167
2022-08-01,50000.63313102722
2022-08-02,50000.71801567078
2022-08-03,50001.08451271057
2022-08-04,50001.40607261658
2022-08-05,50001.1803855896
2022-08-08,49999.98601913452
2022-08-09,49999.27999305725
2022-08-10,50000.28960418701
2022-08-11,50000.13481903076
2022-08-12,50000.90076637268
2022-08-15,50001.22332382202
2022-08-16,50001.07053375244
2022-08-17,50000.52727508545
2022-08-18,50000.96467971802
2022-08-19,50000.04194641113
2022-08-22,49999.228063583374
2022-08-23,49999.228063583374
2022-08-24,49999.228063583374
2022-08-25,49999.228063583374
2022-08-26,49999.228063583374
2022-08-29,49999.228063583374
2022-08-30,49999.228063583374
2022-08-31,49999.228063583374
2022-09-01,49999.228063583374
2022-09-02,49999.228063583374
2022-09-06,49999.228063583374
2022-09-07,49999.228063583374
2022-09-08,49999.228063583374
2022-09-09,49999.228063583374
2022-09-12,49999.228063583374
2022-09-13,49999.228063583374
2022-09-14,49999.228063583374
2022-09-15,49999.228063583374
2022-09-16,49999.228063583374
2022-09-19,49999.228063583374
2022-09-20,49999.228063583374
2022-09-21,49999.228063583374
2022-09-22,49999.228063583374
2022-09-23,49999.228063583374
2022-09-26,49999.228063583374
2022-09-27,49999.228063583374
2022-09-28,49999.228063583374
2022-09-29,49999.228063583374
2022-09-30,49999.228063583374
2022-10-03,49999.228063583374
2022-10-04,49999.228063583374
2022-10-05,49999.228063583374
2022-10-06,49999.228063583374
2022-10-07,49999.228063583374
2022-10-10,49999.228063583374
2022-10-11,49999.228063583374
2022-10-12,49999.228063583374
2022-10-13,49999.228063583374
2022-10-14,49999.228063583374
2022-10-17,49999.228063583374
2022-10-18,49999.228063583374
2022-10-19,49999.228063583374
2022-10-20,49999.228063583374
2022-10-21,49999.228063583374
2022-10-24,49999.228063583374
2022-10-25,49999.228063583374
2022-10-26,49999.228063583374
2022-10-27,49999.228063583374
2022-10-28,49999.8853559494
2022-10-31,49999.54871940613
2022-11-01,49999.59466934204
2022-11-02,49999.27101802826
2022-11-03,49999.47280025482
2022-11-04,50000.207010269165
2022-11-07,50000.35185623169
2022-11-08,50000.652532577515
2022-11-09,49999.82741737366
2022-11-10,50001.79929924011
2022-11-11,50002.37567806244
2022-11-14,50002.3437128067
2022-11-15,50002.714312553406
2022-11-16,50001.959124565125
2022-11-17,50001.72637653351
2022-11-18,50001.458664894104
2022-11-21,50001.366762161255
2022-11-22,50002.08698749542
2022-11-23,50002.56747341156
2022-11-25,50002.31873989105
2022-11-28,50001.876214027405
2022-11-29,50001.68841838837
2022-11-30,50002.97536754608
2022-12-01,50003.18718624115
2022-12-02,50002.928404808044
2022-12-05,50002.66261959076
2022-12-06,50002.040130615234
2022-12-07,50002.1730222702
2022-12-08,50003.22116565704
2022-12-09,50003.05329990387
2022-12-12,50003.58686161041
2022-12-13,50004.123421669006
2022-12-14,50003.72574710846
2022-12-15,50003.00433635712
2022-12-16,50002.62365055084
2022-12-19,50002.30690860748
2022-12-20,50002.13804721832
2022-12-21,50002.553709983826
2022-12-22,50001.39265918732
2022-12-23,50001.2597694397
2022-12-27,50000.175656318665
2022-12-28,50000.175656318665
2022-12-29,50000.175656318665
2022-12-30,50000.175656318665
2023-01-03,50000.175656318665
2023-01-04,50000.175656318665
2023-01-05,50000.175656318665
2023-01-06,50000.175656318665
2023-01-09,50000.175656318665
2023-01-10,50000.175656318665
2023-01-11,50000.175656318665
2023-01-12,50000.175656318665
2023-01-13,50000.175656318665
2023-01-17,50000.175656318665
2023-01-18,49999.850922584534
2023-01-19,49999.23942279816
2023-01-20,50000.312542915344
2023-01-23,50001.66543674469
2023-01-24,50001.737374305725
2023-01-25,50001.79532909393
2023-01-26,50002.273938179016
2023-01-27,50002.83647441864
2023-01-30,50001.63446140289
2023-01-31,50002.00915622711
2023-02-01,50003.41400432587
2023-02-02,50004.1793756485
2023-02-03,50003.570872306824
2023-02-06,50003.55988407135
2023-02-07,50004.642994880676
2023-02-08,50004.67496776581
2023-02-09,50004.806862831116
2023-02-10,50003.73573589325
2023-02-13,50004.25830936432
2023-02-14,50005.44034290314
2023-02-15,50005.233510017395
2023-02-16,50004.47213459015
2023-02-17,50003.858635902405
2023-02-21,50003.12623691559
2023-02-22,50003.22515964508
2023-02-23,50006.13277339935
2023-02-24,50005.75508213043
2023-02-27,50005.969906806946
2023-02-28,50005.685141563416
2023-03-01,50005.167563438416
2023-03-02,50005.78306102753
2023-03-03,50006.35858631134
2023-03-06,50006.022864341736
2023-03-07,50005.761034965515
2023-03-08,50006.65345478058
2023-03-09,50005.908942222595
2023-03-10,50005.43824481964
2023-03-13,50005.439244270325
2023-03-14,50006.53552913666
2023-03-15,50006.70042324066
2023-03-16,50008.012570381165
2023-03-17,50008.19644832611
2023-03-20,50008.3713388443
2023-03-21,50008.670145988464
2023-03-22,50008.93896770477
2023-03-23,50009.66149997711
2023-03-24,50009.24976634979
