,date,symbol,action,shares,price,cost,cash_remaining,revenue
0,2022-07-25,NVDA,BUY,2941,17.000659942626953,49998.94089126587,1.0591087341308594,
1,2022-08-09,NVDA,SELL,2941,17.062572479248047,,50182.08477020264,50181.025661468506
2,2022-11-01,NVDA,BUY,3709,13.52845287322998,50177.03170681,5.05306339263916,
3,2022-12-19,NVDA,SELL,3709,16.240690231323242,,60241.773131370544,60236.720067977905
4,2023-01-24,NVDA,BUY,3129,19.249225616455078,60230.82695388794,10.94617748260498,
5,2023-02-21,NVDA,SELL,3129,20.638090133666992,,64587.53020572662,64576.58402824402
6,2023-08-30,NVDA,BUY,1311,49.23711395263672,64549.85639190674,37.673813819885254,
7,2023-09-15,NVDA,SELL,1311,43.87966537475586,,57563.91512012482,57526.24130630493
8,2023-10-16,NVDA,BUY,1249,46.073646545410156,57545.984535217285,17.93058490753174,
9,2023-10-20,NVDA,SELL,1249,41.367820739746094,,51686.3386888504,51668.40810394287
10,2023-11-14,NVDA,BUY,1041,49.63299560546875,51667.94842529297,18.390263557434082,
11,2023-12-13,NVDA,SELL,1041,48.069950103759766,,50059.20832157135,50040.818058013916
12,2023-12-28,NVDA,BUY,1011,49.50341033935547,50047.94785308838,11.260468482971191,
13,2024-04-09,NVDA,SELL,1011,85.3259506225586,,86275.79654788971,86264.53607940674
14,2024-05-13,NVDA,BUY,954,90.36930847167969,86212.32028198242,63.4762659072876,
15,2024-06-24,NVDA,SELL,954,118.08089447021484,,112712.64959049225,112649.17332458496
16,2024-08-26,NVDA,BUY,891,126.42884063720703,112648.09700775146,64.55258274078369,
17,2024-09-03,NVDA,SELL,891,107.973388671875,,96268.84188938141,96204.28930664062
18,2024-10-01,NVDA,BUY,822,116.9811782836914,96158.52854919434,110.31334018707275,
19,2024-12-05,NVDA,SELL,822,145.04666137695312,,119338.66899204254,119228.35565185547
20,2025-01-10,NVDA,BUY,878,135.8975067138672,119318.01089477539,20.65809726715088,
21,2025-01-27,NVDA,SELL,878,118.40910339355469,,103983.85087680817,103963.19277954102
22,2025-02-25,NVDA,BUY,821,126.61835479736328,103953.66928863525,30.181588172912598,
23,2025-03-03,NVDA,SELL,821,114.04950714111328,,93664.82695102692,93634.645362854
24,2025-05-07,NVDA,BUY,800,117.05999755859375,93647.998046875,16.828904151916504,
